pdb_id,classification,method
1kdk,TRANSPORT PROTEIN,X-RAY DIFFRACTION
1lj5,BLOOD CLOTTING,X-RAY DIFFRACTION
2bzz,HYDROLASE,X-RAY DIFFRACTION
1uk7,HYDROLASE,X-RAY DIFFRACTION
3rk8,LYASE,X-RAY DIFFRACTION
5e7x,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
7cbn,HYDROLASE,X-RAY DIFFRACTION
2hub,HYDROLASE,X-RAY DIFFRACTION
1ozn,SIGNALING PROTEIN,X-RAY DIFFRACTION
4npm,OXIDOREDUCTASE,X-RAY DIFFRACTION
2p18,HYDROLASE,X-RAY DIFFRACTION
7y11,LIPID TRANSPORT,X-RAY DIFFRACTION
2vln,PROTEIN BINDING,X-RAY DIFFRACTION
